index	RPKM	genome
K2_TE1288087	0.168092	K
K2_TE1288088	0.168092	K
K2_TE1288089	0.168092	K
K2_TE1288090	0.168092	K
K2_TE1288091	0.168092	K
K2_TE1288092	0.168092	K
K2_TE1288093	0.168092	K
K2_TE1288094	0.168092	K
K2_TE1288095	0.168092	K
K2_TE1288096	0.168092	K
K2_TE1288097	0.168092	K
K2_TE1288098	0.168092	K
K2_TE1288099	0.168092	K
K2_TE1288100	0.168092	K
K2_TE1288101	0.168092	K
K2_TE1288102	0.168092	K
K2_TE1288103	0.168092	K
K2_TE1288104	0.168092	K
K2_TE1288105	0.168092	K
K2_TE1288106	0.168092	K
K2_TE1288107	0.168092	K
K2_TE1288108	0.168092	K
K2_TE1288109	0.168092	K
K2_TE1288110	0.168092	K
K2_TE1288111	0.168092	K
K2_TE1288112	0.168092	K
K2_TE1288113	0.168092	K
K2_TE1288114	0.168092	K
K2_TE1288115	0.168092	K
K2_TE1288116	0.168092	K
K2_TE1288117	0.168092	K
K2_TE1288118	0.168092	K
K2_TE1288119	0.168092	K
K2_TE1288120	0.168092	K
K2_TE1288121	0.168092	K
K2_TE1288122	0.672367	K
K2_TE1288123	0.504275	K
K2_TE1288124	0.504275	K
K2_TE1288125	0.504275	K
K2_TE1288126	0.504275	K
K2_TE1288127	0.504275	K
K2_TE1288128	0.504275	K
K2_TE1288129	0.504275	K
K2_TE1288130	0.504275	K
K2_TE1288131	0.504275	K
K2_TE1288132	0.504275	K
K2_TE1288133	0.504275	K
K2_TE1288134	0.252137	K
K2_TE1288355	0.168092	K
K2_TE1288361	1.34473	K
K2_TE1288362	1.34473	K
K2_TE1288363	1.34473	K
K2_TE1288364	1.34473	K
K2_TE1288365	1.34473	K
K2_TE1288366	2.43733	K
K2_TE1288367	2.43733	K
K2_TE1288368	2.26924	K
K2_TE1288369	2.26924	K
K2_TE1288370	2.18519	K
K2_TE1288371	2.18519	K
K2_TE1288372	2.18519	K
K2_TE1288373	2.18519	K
K2_TE1288374	2.18519	K
K2_TE1288375	2.35328	K
K2_TE1288376	2.35328	K
K2_TE1288377	2.18519	K
K2_TE1288414	0.168092	K
K2_TE1290008	1.0926	K
K2_TE1290009	1.0926	K
K2_TE1290010	2.43733	K
K2_TE1290011	2.43733	K
K2_TE1290012	2.43733	K
K2_TE1290013	2.43733	K
K2_TE1290014	2.52137	K
K2_TE1290015	2.43733	K
K2_TE1290016	2.43733	K
K2_TE1290017	2.43733	K
K2_TE1290018	2.26924	K
K2_TE1290019	2.26924	K
K2_TE1290054	1.00855	K
K2_TE1290082	0.336183	K
K2_TE1290083	0.168092	K
K2_TE1290100	0.168092	K
K2_TE1290101	1.76496	K
K2_TE1290122	1.51282	K
K2_TE1290135	0.168092	K
K2_TE1290137	0.252137	K
K2_TE1290138	0.252137	K
K2_TE1290139	2.26924	K
K2_TE1290140	132.96	K
K2_TE1290141	132.792	K
K2_TE1290142	130.019	K
K2_TE1290143	127.918	K
K2_TE1290144	130.103	K
K2_TE1290145	130.607	K
K2_TE1290146	130.187	K
K2_TE1290155	5.46298	K
K2_TE1290156	3.27779	K
K2_TE1290166	14.0357	K
K2_TE1290167	6.47153	K
K2_TE1290168	6.89176	K
K2_TE1291333	0.924504	K
K2_TE1291390	3.69802	K
K2_TE1291408	36.8961	K
K2_TE1291409	37.0642	K
K2_TE0045390	0.168092	K
K2_TE0045391	0.252137	K
K2_TE0045415	5.96725	K
K2_TE0045416	5.96725	K
K2_TE0045417	5.96725	K
K2_TE0045427	0.336183	K
K2_TE0045428	0.168092	K
K2_TE0045429	0.168092	K
K2_TE0045430	0.504275	K
K2_TE0045431	1.17664	K
K2_TE0045432	0.168092	K
K2_TE0045433	0.168092	K
K2_TE0045435	1.00855	K
K2_TE0045437	1.84901	K
K2_TE0045438	5.29489	K
K2_TE0045439	1.17664	K
K2_TE0045440	7.14389	K
K2_TE0045441	4.20229	K
K2_TE0045442	34.795	K
K2_TE0045443	0.168092	K
K2_TE0045444	0.168092	K
K2_TE0045445	0.168092	K
K2_TE0045446	0.168092	K
K2_TE0045447	0.168092	K
K2_TE0045448	0.168092	K
K2_TE0045450	0.168092	K
K2_TE0045451	0.168092	K
K2_TE0045452	0.168092	K
K2_TE0045453	0.252137	K
K2_TE0045456	0.252137	K
K2_TE0045457	0.252137	K
K2_TE0045458	0.252137	K
K2_TE0045459	0.252137	K
K2_TE0045460	0.252137	K
K2_TE0045461	0.252137	K
K2_TE0045462	0.252137	K
K2_TE0045463	0.252137	K
K2_TE0045464	0.252137	K
K2_TE0045465	0.252137	K
K2_TE0045466	0.252137	K
K2_TE0045467	0.252137	K
K2_TE0045468	0.252137	K
K2_TE0045469	0.252137	K
K2_TE0045470	0.252137	K
K2_TE0045471	0.252137	K
K2_TE0045970	0.336183	K
K2_TE0045971	0.336183	K
K2_TE0045972	0.336183	K
K2_TE0045991	3.44588	K
K2_TE0045995	2.52137	K
K2_TE0353556	13.5314	K
K2_TE0353579	0.168092	K
K2_TE0278602	0.252137	K
K2_TE0278601	28.8277	K
K2_TE0278595	0.420229	K
K2_TE0278569	1.17664	K
K2_TE0278568	3.02565	K
K2_TE0278567	1.68092	K
K2_TE0278194	0.420229	K
K2_TE0278196	0.420229	K
K2_TE0277831	0.252137	K
K2_TE0277326	0.168092	K
K2_TE0277325	0.168092	K
K2_TE0277323	0.168092	K
K2_TE0277324	0.168092	K
K2_TE0277322	0.168092	K
K2_TE0277321	0.168092	K
K2_TE0277320	0.168092	K
K2_TE0277319	0.168092	K
K2_TE0277318	0.168092	K
K2_TE0277317	0.168092	K
K2_TE0277316	0.168092	K
K2_TE0277315	0.168092	K
K2_TE0277314	0.168092	K
K2_TE0277313	0.168092	K
K2_TE0277311	0.168092	K
K2_TE0277312	0.168092	K
K2_TE0277310	0.168092	K
K2_TE0277309	9.41313	K
K2_TE0277284	10.7579	K
K2_TE0277283	10.7579	K
K2_TE0277282	10.7579	K
K2_TE0277281	10.7579	K
K2_TE0277278	0.168092	K
K2_TE0277271	0.168092	K
K2_TE0277270	0.168092	K
K2_TE0277230	5.88321	K
K2_TE0277225	2.18519	K
K2_TE0277224	2.18519	K
K2_TE0277217	12.4388	K
K2_TE0276183	12.3547	K
K2_TE0276152	4.20229	K
K2_TE0276122	37.5685	K
K2_TE0276121	26.6425	K
K2_TE0276110	7.22794	K
K2_TE0275577	0.252137	K
K2_TE0275576	0.252137	K
K2_TE0275575	0.168092	K
K2_TE0275573	12.6069	K
K2_TE0275459	3.44588	K
K2_TE0275458	11.01	K
K2_TE0274980	3.27779	K
K2_TE0274979	3.86611	K
K2_TE0274975	11.3462	K
K2_TE0274974	2.85756	K
K2_TE0274973	2.77351	K
K2_TE0274218	0.168092	K
K2_TE0274216	0.168092	K
K2_TE0274217	0.168092	K
K2_TE0274215	0.168092	K
K2_TE0274214	0.168092	K
K2_TE0274213	0.168092	K
K2_TE0274212	0.168092	K
K2_TE0274211	0.168092	K
K2_TE0274210	0.168092	K
K2_TE0274209	0.168092	K
K2_TE0274208	0.168092	K
K2_TE0274207	0.168092	K
K2_TE0274205	0.168092	K
K2_TE0274206	0.168092	K
K2_TE0274204	0.168092	K
K2_TE0274203	0.168092	K
K2_TE0274202	0.168092	K
K2_TE0274201	0.168092	K
K2_TE0274200	0.168092	K
K2_TE0274198	0.168092	K
K2_TE0274199	0.168092	K
K2_TE0274197	0.168092	K
K2_TE0274196	0.168092	K
K2_TE0274195	0.168092	K
K2_TE0274194	0.168092	K
K2_TE0274193	0.168092	K
K2_TE0274192	0.168092	K
K2_TE0274191	0.168092	K
K2_TE0274190	0.168092	K
K2_TE0274189	0.168092	K
K2_TE0274188	0.168092	K
K2_TE0274187	0.168092	K
K2_TE0274186	0.168092	K
K2_TE0274184	0.168092	K
K2_TE0274185	0.168092	K
K2_TE0274183	0.168092	K
K2_TE0274180	0.168092	K
K2_TE0274179	0.168092	K
K2_TE0274177	0.168092	K
K2_TE0274178	0.168092	K
K2_TE0274175	0.168092	K
K2_TE0274176	0.168092	K
K2_TE0274174	0.168092	K
K2_TE0274173	0.168092	K
K2_TE0274172	0.168092	K
K2_TE0274170	0.168092	K
K2_TE0274169	0.168092	K
K2_TE0274168	0.168092	K
K2_TE0274167	0.168092	K
K2_TE0274166	0.168092	K
K2_TE0274165	0.168092	K
K2_TE1546713	0.168092	K
K2_TE1546712	10.5057	K
K2_TE1546711	6.38748	K
K2_TE1546710	6.13534	K
K2_TE1546703	5.21084	K
K2_TE1546702	6.47153	K
K2_TE1545067	9.32909	K
K2_TE1545066	10.8419	K
K2_TE1545064	1.42878	K
K2_TE1544999	1.68092	K
K2_TE1544998	1.34473	K
K2_TE1544997	3.44588	K
K2_TE1544977	0.420229	K
K2_TE1544976	0.504275	K
K2_TE1544975	4.20229	K
K2_TE1544221	0.168092	K
K2_TE1543808	0.168092	K
K2_TE1543806	4.28634	K
K2_TE1543807	0.168092	K
K2_TE1543805	15.9687	K
K2_TE1543804	1.51282	K
K2_TE1543803	1.51282	K
K2_TE1543802	2.0171	K
K2_TE1543801	0.252137	K
K2_TE1543165	0.252137	K
K2_TE1543163	13.0271	K
K2_TE1543162	4.70657	K
K2_TE1543161	4.79061	K
K2_TE1543160	0.252137	K
K2_TE1543159	0.252137	K
K2_TE1543158	0.252137	K
K2_TE1543157	0.252137	K
K2_TE1543156	0.252137	K
K2_TE1543154	0.252137	K
K2_TE1543155	0.252137	K
K2_TE1543153	0.252137	K
K2_TE1543152	0.252137	K
K2_TE1543151	0.252137	K
K2_TE1543150	0.252137	K
K2_TE1543148	0.252137	K
K2_TE1543149	0.252137	K
K2_TE1543147	0.252137	K
K2_TE1543146	0.252137	K
K2_TE1543145	0.336183	K
K2_TE1543144	0.504275	K
K2_TE1543143	0.420229	K
K2_TE1543140	0.168092	K
K2_TE1543139	0.168092	K
K2_TE1543138	0.168092	K
K2_TE1543136	0.168092	K
K2_TE1543137	0.168092	K
K2_TE1543135	2.60542	K
K2_TE1543134	2.0171	K
K2_TE1543133	2.0171	K
K2_TE1543132	0.168092	K
K2_TE1543131	0.168092	K
K2_TE1543130	0.168092	K
K2_TE1543129	0.168092	K
K2_TE1543127	0.168092	K
K2_TE1543128	0.168092	K
K2_TE1543126	0.168092	K
K2_TE1543124	0.168092	K
K2_TE1543125	0.168092	K
K2_TE1543121	0.168092	K
K2_TE1543123	0.168092	K
K2_TE1543122	0.168092	K
K2_TE1543120	0.168092	K
K2_TE1543117	0.168092	K
K2_TE1543116	0.168092	K
K2_TE1543115	0.168092	K
K2_TE1543114	0.168092	K
K2_TE1543113	0.168092	K
K2_TE1543112	0.168092	K
K2_TE1543111	0.168092	K
K2_TE1543109	0.168092	K
K2_TE1543110	0.168092	K
K2_TE1543108	0.168092	K
K2_TE1543107	0.168092	K
K2_TE1543106	0.168092	K
K2_TE1543105	0.168092	K
K2_TE1543104	0.168092	K
K2_TE1543103	0.168092	K
K2_TE1543102	0.168092	K
K2_TE1543101	0.168092	K
K2_TE1543100	0.168092	K
K2_TE1543099	0.168092	K
K2_TE1543098	0.168092	K
K2_TE1543097	0.168092	K
K2_TE1543096	0.168092	K
K2_TE1543095	0.168092	K
K2_TE1543094	0.168092	K
K2_TE1543093	0.168092	K
K2_TE1543092	0.168092	K
K2_TE1543091	0.168092	K
K2_TE1543090	0.168092	K
K2_TE1543089	0.168092	K
K2_TE1543088	0.168092	K
K2_TE1542479	12.859	K
K2_TE0155490	0.168092	K
K2_TE0155473	2.9416	K
K2_TE0155472	3.02565	K
K2_TE0155471	3.19374	K
K2_TE0154515	1.51282	K
K2_TE0154507	0.588321	K
K2_TE0154506	1.00855	K
K2_TE0153015	0.168092	K
K2_TE0153014	0.168092	K
K2_TE0153013	0.168092	K
K2_TE0153012	0.168092	K
K2_TE0153011	0.168092	K
K2_TE0153009	0.168092	K
K2_TE0153007	0.168092	K
K2_TE0153008	0.168092	K
K2_TE0153006	0.168092	K
K2_TE0153005	0.168092	K
K2_TE0153004	0.168092	K
K2_TE0153003	0.168092	K
K2_TE0153001	0.168092	K
