index	RPKM	type	genome
K2_TE0274175	0.168092	specific	K
K2_TE0274176	0.168092	specific	K
K2_TE0274174	0.168092	specific	K
K2_TE0274173	0.168092	specific	K
K2_TE0274172	0.168092	specific	K
K2_TE0274170	0.168092	specific	K
K2_TE0274169	0.168092	specific	K
K2_TE0274168	0.168092	specific	K
K2_TE0274167	0.168092	specific	K
K2_TE0274166	0.168092	specific	K
K2_TE0274165	0.168092	specific	K
K2_TE1546713	0.168092	specific	K
K2_TE1546712	10.5057	specific	K
K2_TE1546711	6.38748	specific	K
K2_TE1546710	6.13534	specific	K
K2_TE1546703	5.21084	specific	K
K2_TE1546702	6.47153	specific	K
K2_TE1543808	0.168092	specific	K
K2_TE1543806	4.28634	specific	K
K2_TE1543807	0.168092	specific	K
K2_TE1543805	15.9687	specific	K
K2_TE1543804	1.51282	specific	K
K2_TE1543803	1.51282	specific	K
K2_TE1543802	2.0171	specific	K
K2_TE1543801	0.252137	specific	K
K2_TE1542479	12.859	specific	K
K2_TE0154515	1.51282	specific	K
K2_TE0154507	0.588321	specific	K
K2_TE0154506	1.00855	specific	K
K2_TE0151159	0.168092	specific	K
K2_TE0151155	0.252137	specific	K
K2_TE0151152	0.672367	specific	K
K2_TE0151151	0.588321	specific	K
K2_TE0151150	0.756412	specific	K
K2_TE0151149	0.756412	specific	K
K2_TE0149639	0.336183	specific	K
K2_TE0149638	0.504275	specific	K
K2_TE0149637	0.168092	specific	K
K2_TE1701903	4.62252	specific	K
K2_TE1701902	3.36183	specific	K
K2_TE1701901	3.36183	specific	K
K2_TE1701900	5.54702	specific	K
K2_TE1698554	1.93305	specific	K
K2_TE1698553	1.93305	specific	K
K2_TE1698552	1.42878	specific	K
K2_TE1698551	1.0926	specific	K
K2_TE1698550	1.26069	specific	K
K2_TE1698548	1.17664	specific	K
K2_TE1698547	1.17664	specific	K
K2_TE1698545	1.34473	specific	K
K2_TE1698546	1.0926	specific	K
K2_TE1698544	1.0926	specific	K
K2_TE1698543	1.0926	specific	K
K2_TE1698542	2.10115	specific	K
K2_TE1695290	2.68947	specific	K
K2_TE1695289	3.95015	specific	K
K2_TE1688038	0.504275	specific	K
K2_TE1687965	0.336183	specific	K
K2_TE1687959	0.168092	specific	K
K2_TE1687958	0.168092	specific	K
K2_TE1687956	0.168092	specific	K
K2_TE1687957	0.168092	specific	K
K2_TE1687955	0.168092	specific	K
K2_TE1687953	0.168092	specific	K
K2_TE1687954	0.168092	specific	K
K2_TE1687952	0.168092	specific	K
K2_TE0742036	0.168092	specific	K
K2_TE0742071	0.168092	specific	K
K2_TE0743659	35.2152	specific	K
K2_TE0743660	60.4289	specific	K
K2_TE0743661	22.5243	specific	K
K2_TE0743662	27.483	specific	K
K2_TE0743663	35.2992	specific	K
K2_TE0743664	25.0457	specific	K
