index	type	TE	TEcoverage	genome
LTR-TE1965	conserved	Ancient	0	A
LTR-TE1987	conserved	Ancient	0	A
LTR-TE2032	conserved	Ancient	0	A
LTR-TE2086	conserved	Ancient	0	A
LTR-TE2095	conserved	Ancient	0	A
LTR-TE2099	conserved	Ancient	0	A
LTR-TE2103	conserved	Ancient	0	A
LTR-TE2122	conserved	Ancient	0	A
LTR-TE2167	conserved	Ancient	0	A
LTR-TE2274	conserved	Ancient	0	A
LTR-TE2301	conserved	Ancient	0	A
LTR-TE2303	conserved	Ancient	0	A
LTR-TE2332	conserved	Ancient	0	A
LTR-TE2354	conserved	Ancient	0	A
LTR-TE2368	conserved	Ancient	0	A
LTR-TE2389	conserved	Ancient	0	A
LTR-TE2409	conserved	Ancient	0	A
LTR-TE2423	conserved	Ancient	0	A
LTR-TE2433	conserved	Ancient	0	A
LTR-TE2439	conserved	Ancient	0	A
LTR-TE2485	conserved	Ancient	0	A
LTR-TE2515	conserved	Ancient	0	A
LTR-TE2538	conserved	Ancient	0	A
LTR-TE2607	conserved	Ancient	0	A
LTR-TE2688	conserved	Ancient	0	A
LTR-TE2715	conserved	Ancient	0	A
LTR-TE2727	conserved	Ancient	0	A
LTR-TE2728	conserved	Ancient	0	A
LTR-TE2741	conserved	Ancient	0	A
LTR-TE2742	conserved	Ancient	0	A
LTR-TE2770	conserved	Ancient	0	A
LTR-TE2788	conserved	Ancient	0	A
LTR-TE2797	conserved	Ancient	0	A
LTR-TE2938	conserved	Ancient	0	A
LTR-TE2974	conserved	Ancient	0	A
LTR-TE3041	conserved	Ancient	0	A
LTR-TE3056	conserved	Ancient	0	A
LTR-TE3064	conserved	Ancient	0	A
LTR-TE3106	conserved	Ancient	0	A
LTR-TE3111	conserved	Ancient	0	A
LTR-TE3139	conserved	Ancient	0	A
LTR-TE3145	conserved	Ancient	0	A
LTR-TE3150	conserved	Ancient	0	A
LTR-TE3152	conserved	Ancient	0	A
LTR-TE3160	conserved	Ancient	0	A
LTR-TE3165	conserved	Ancient	0	A
LTR-TE3184	conserved	Ancient	0	A
LTR-TE3202	conserved	Ancient	0	A
LTR-TE3212	conserved	Ancient	0	A
LTR-TE3236	conserved	Ancient	0	A
LTR-TE3253	conserved	Ancient	0	A
LTR-TE1589	conserved	Ancient	0	A
LTR-TE1603	conserved	Ancient	0	A
LTR-TE1605	conserved	Ancient	0	A
LTR-TE1608	conserved	Ancient	0	A
LTR-TE1628	conserved	Ancient	0	A
LTR-TE1647	conserved	Ancient	0	A
LTR-TE1694	conserved	Ancient	0	A
LTR-TE1758	conserved	Ancient	0	A
LTR-TE1832	conserved	Ancient	0	A
LTR-TE1854	conserved	Ancient	0	A
LTR-TE1869	conserved	Ancient	0	A
LTR-TE1887	conserved	Ancient	0	A
LTR-TE1984	conserved	Ancient	0	A
LTR-TE1995	conserved	Ancient	0	A
LTR-TE2015	conserved	Ancient	0	A
LTR-TE2028	conserved	Ancient	0	A
LTR-TE2038	conserved	Ancient	0	A
LTR-TE2080	conserved	Ancient	0	A
LTR-TE2112	conserved	Ancient	0	A
LTR-TE2152	conserved	Ancient	0	A
LTR-TE2229	conserved	Ancient	0	A
LTR-TE2279	conserved	Ancient	0	A
LTR-TE2325	conserved	Ancient	0	A
LTR-TE2373	conserved	Ancient	0	A
LTR-TE2403	conserved	Ancient	1	A
LTR-TE2405	conserved	Ancient	0	A
LTR-TE2466	conserved	Ancient	0	A
LTR-TE2476	conserved	Ancient	0	A
LTR-TE2478	conserved	Ancient	0	A
LTR-TE2497	conserved	Ancient	0	A
LTR-TE2519	conserved	Ancient	0	A
LTR-TE2537	conserved	Ancient	0	A
LTR-TE2557	conserved	Ancient	0	A
LTR-TE2593	conserved	Ancient	0	A
LTR-TE2654	conserved	Ancient	0	A
LTR-TE2657	conserved	Ancient	0	A
LTR-TE2780	conserved	Ancient	0	A
LTR-TE2882	conserved	Ancient	0	A
LTR-TE2959	conserved	Ancient	0	A
LTR-TE2960	conserved	Ancient	0	A
LTR-TE2970	conserved	Ancient	0	A
LTR-TE3002	conserved	Ancient	0	A
LTR-TE3135	conserved	Ancient	0	A
LTR-TE3149	conserved	Ancient	0	A
LTR-TE3181	conserved	Ancient	0	A
LTR-TE3835	conserved	Ancient	0	A
LTR-TE3836	conserved	Ancient	0	A
LTR-TE3401	conserved	Ancient	0	A
LTR-TE3402	conserved	Ancient	0	A
LTR-TE3403	conserved	Ancient	0	A
LTR-TE3487	conserved	Ancient	0	A
LTR-TE3771	conserved	Ancient	1	A
LTR-TE3830	conserved	Ancient	0	A
LTR-TE3894	conserved	Ancient	0	A
LTR-TE3943	conserved	Ancient	0	A
LTR-TE4267	conserved	Ancient	0	A
LTR-TE4610	conserved	Ancient	0	A
LTR-TE4905	conserved	Ancient	0	A
LTR-TE5033	conserved	Ancient	0	A
LTR-TE3302	conserved	Ancient	0	A
LTR-TE3305	conserved	Ancient	0	A
LTR-TE3343	conserved	Ancient	0	A
LTR-TE3344	conserved	Ancient	0	A
LTR-TE3388	conserved	Ancient	0	A
LTR-TE3390	conserved	Ancient	0	A
LTR-TE3404	conserved	Ancient	0	A
LTR-TE3407	conserved	Ancient	0	A
LTR-TE3426	conserved	Ancient	0	A
LTR-TE3443	conserved	Ancient	0	A
LTR-TE3503	conserved	Ancient	0	A
LTR-TE3553	conserved	Ancient	0	A
LTR-TE3555	conserved	Ancient	0	A
LTR-TE3585	conserved	Ancient	0	A
LTR-TE3635	conserved	Ancient	0	A
LTR-TE3636	conserved	Ancient	0	A
LTR-TE3656	conserved	Ancient	0	A
LTR-TE3669	conserved	Ancient	0	A
LTR-TE3680	conserved	Ancient	0	A
LTR-TE3682	conserved	Ancient	0	A
LTR-TE3688	conserved	Ancient	0	A
LTR-TE3707	conserved	Ancient	0	A
LTR-TE3708	conserved	Ancient	0	A
LTR-TE3754	conserved	Ancient	0	A
LTR-TE3756	conserved	Ancient	0	A
LTR-TE3762	conserved	Ancient	0	A
LTR-TE3772	conserved	Ancient	0.2250683	A
LTR-TE3796	conserved	Ancient	0	A
LTR-TE3842	conserved	Ancient	0	A
LTR-TE3902	conserved	Ancient	0	A
LTR-TE3981	conserved	Ancient	0	A
LTR-TE4065	conserved	Ancient	0	A
LTR-TE4117	conserved	Ancient	0	A
LTR-TE4156	conserved	Ancient	0	A
LTR-TE4178	conserved	Ancient	0	A
LTR-TE4190	conserved	Ancient	0	A
LTR-TE4212	conserved	Ancient	0	A
LTR-TE4287	conserved	Ancient	0	A
LTR-TE4288	conserved	Ancient	0	A
LTR-TE4330	conserved	Ancient	0	A
LTR-TE4349	conserved	Ancient	0	A
LTR-TE4354	conserved	Ancient	0	A
LTR-TE4396	conserved	Ancient	0	A
LTR-TE4489	conserved	Ancient	0	A
LTR-TE4539	conserved	Ancient	0	A
LTR-TE4599	conserved	Ancient	0	A
LTR-TE4620	conserved	Ancient	0	A
LTR-TE4669	conserved	Ancient	0	A
LTR-TE4689	conserved	Ancient	0	A
LTR-TE4700	conserved	Ancient	0	A
LTR-TE4744	conserved	Ancient	0	A
LTR-TE4768	conserved	Ancient	0	A
LTR-TE4805	conserved	Ancient	0	A
LTR-TE4848	conserved	Ancient	0	A
LTR-TE4869	conserved	Ancient	0	A
LTR-TE4889	conserved	Ancient	0	A
LTR-TE4891	conserved	Ancient	0	A
LTR-TE4892	conserved	Ancient	0	A
LTR-TE4977	conserved	Ancient	0	A
LTR-TE5014	conserved	Ancient	0	A
LTR-TE5020	conserved	Ancient	0	A
LTR-TE5047	conserved	Ancient	1	A
LTR-TE5054	conserved	Ancient	0	A
LTR-TE5057	conserved	Ancient	0	A
LTR-TE5070	conserved	Ancient	0	A
LTR-TE5077	conserved	Ancient	0	A
LTR-TE5090	conserved	Ancient	0	A
LTR-TE5102	conserved	Ancient	0	A
LTR-TE5107	conserved	Ancient	0	A
LTR-TE5109	conserved	Ancient	0	A
LTR-TE5114	conserved	Ancient	0	A
LTR-TE5131	conserved	Ancient	0	A
LTR-TE5142	conserved	Ancient	0	A
LTR-TE5156	conserved	Ancient	0	A
LTR-TE3307	conserved	Ancient	0	A
LTR-TE3321	conserved	Ancient	0	A
LTR-TE3327	conserved	Ancient	0	A
LTR-TE3338	conserved	Ancient	0	A
LTR-TE3341	conserved	Ancient	0	A
LTR-TE3360	conserved	Ancient	0	A
LTR-TE3370	conserved	Ancient	0	A
LTR-TE3371	conserved	Ancient	0	A
LTR-TE3372	conserved	Ancient	0	A
LTR-TE3408	conserved	Ancient	0	A
LTR-TE3419	conserved	Ancient	0	A
LTR-TE3452	conserved	Ancient	0	A
LTR-TE3461	conserved	Ancient	0	A
LTR-TE3505	conserved	Ancient	0	A
LTR-TE3538	conserved	Ancient	0	A
LTR-TE3541	conserved	Ancient	0	A
LTR-TE3582	conserved	Ancient	0	A
LTR-TE3592	conserved	Ancient	0	A
LTR-TE3596	conserved	Ancient	0	A
LTR-TE3613	conserved	Ancient	0	A
LTR-TE3629	conserved	Ancient	0	A
LTR-TE3650	conserved	Ancient	0	A
LTR-TE3713	conserved	Ancient	0	A
LTR-TE3721	conserved	Ancient	0	A
LTR-TE3734	conserved	Ancient	0	A
LTR-TE3759	conserved	Ancient	0	A
LTR-TE3843	conserved	Ancient	0	A
LTR-TE3952	conserved	Ancient	0	A
LTR-TE3992	conserved	Ancient	0	A
LTR-TE4071	conserved	Ancient	0	A
LTR-TE4259	conserved	Ancient	0	A
LTR-TE4324	conserved	Ancient	0	A
LTR-TE4355	conserved	Ancient	0	A
LTR-TE4376	conserved	Ancient	0	A
LTR-TE4447	conserved	Ancient	0	A
LTR-TE4450	conserved	Ancient	0	A
LTR-TE4568	conserved	Ancient	0	A
LTR-TE4678	conserved	Ancient	0	A
LTR-TE4751	conserved	Ancient	0	A
LTR-TE4809	conserved	Ancient	0	A
LTR-TE4857	conserved	Ancient	0	A
LTR-TE4865	conserved	Ancient	0	A
LTR-TE4881	conserved	Ancient	0	A
LTR-TE4915	conserved	Ancient	0	A
LTR-TE4940	conserved	Ancient	0	A
LTR-TE5027	conserved	Ancient	0	A
LTR-TE5034	conserved	Ancient	0	A
LTR-TE5067	conserved	Ancient	0	A
LTR-TE5068	conserved	Ancient	0	A
LTR-TE5086	conserved	Ancient	0	A
LTR-TE5088	conserved	Ancient	0	A
LTR-TE5103	conserved	Ancient	0	A
LTR-TE5110	conserved	Ancient	0	A
LTR-TE5130	conserved	Ancient	0	A
LTR-TE5136	conserved	Ancient	0	A
LTR-TE5157	conserved	Ancient	0	A
LTR-TE5161	conserved	Ancient	0	A
LTR-TE5196	conserved	Ancient	1	A
LTR-TE5228	conserved	Ancient	0	A
LTR-TE5251	conserved	Ancient	0	A
LTR-TE5700	conserved	Ancient	0	A
LTR-TE5336	conserved	Ancient	0.8768014	A
LTR-TE5914	conserved	Ancient	0	A
LTR-TE6150	conserved	Ancient	0	A
LTR-TE6476	conserved	Ancient	0	A
LTR-TE6602	conserved	Ancient	0	A
LTR-TE6719	conserved	Ancient	0	A
LTR-TE6758	conserved	Ancient	0	A
LTR-TE6857	conserved	Ancient	0	A
LTR-TE5287	conserved	Ancient	0	A
LTR-TE5296	conserved	Ancient	0	A
LTR-TE5348	conserved	Ancient	0	A
LTR-TE5372	conserved	Ancient	0	A
LTR-TE5426	conserved	Ancient	0	A
LTR-TE5444	conserved	Ancient	0	A
LTR-TE5461	conserved	Ancient	0	A
LTR-TE5491	conserved	Ancient	0	A
LTR-TE5513	conserved	Ancient	0	A
LTR-TE5547	conserved	Ancient	0	A
LTR-TE5576	conserved	Ancient	0	A
LTR-TE5589	conserved	Ancient	0	A
LTR-TE5624	conserved	Ancient	0	A
LTR-TE5651	conserved	Ancient	0	A
LTR-TE5663	conserved	Ancient	0	A
LTR-TE5729	conserved	Ancient	0	A
LTR-TE5794	conserved	Ancient	0	A
LTR-TE5811	conserved	Ancient	0	A
LTR-TE5852	conserved	Ancient	0	A
LTR-TE5885	conserved	Ancient	0	A
LTR-TE5976	conserved	Ancient	0	A
LTR-TE6027	conserved	Ancient	0	A
LTR-TE6128	conserved	Ancient	0	A
LTR-TE6133	conserved	Ancient	0	A
LTR-TE6142	conserved	Ancient	0	A
