index	FPKM	status	genome
Garb_01G003270.1	0.000000	A	A
Garb_01G003280.1	36.430424	A	A
Garb_01G003290.1	12.684744	A	A
Garb_01G003310.1	0.0	A	A
Garb_01G003320.1	171.210556	A	A
Garb_01G003330.1	30.464315	A	A
Garb_01G003340.1	3.052122	A	A
Garb_01G003350.1	29.097675	A	A
Garb_01G003360.1	37.512897	A	A
Garb_01G003370.1	1.305248	A	A
Garb_01G003380.1	6.350305	A	A
Garb_01G003390.1	11.810523	A	A
Garb_01G003400.1	12.525777	A	A
Garb_01G003410.1	5.728303	A	A
Garb_01G003420.1	17.862217	A	A
Garb_01G003430.1	249.199722	A	A
Garb_01G003440.1	32.928104	A	A
Garb_01G003450.1	8.094275	A	A
Garb_01G003460.1	16.919724	A	A
Garb_01G003470.1	4.422140	A	A
Garb_01G003480.1	6.622024	A	A
Garb_01G003490.1	1.872015	A	A
Garb_01G003500.1	0.000000	A	A
Garb_01G003510.1	11.630581	A	A
Garb_01G003520.1	3.493432	A	A
Garb_01G003530.1	21.175327	A	A
Garb_01G003540.1	6.678250	A	A
Garb_01G003550.1	8.223892	A	A
Garb_01G003560.1	25.178001	A	A
Garb_01G003570.1	0.0	A	A
Garb_01G003580.1	0.234157	A	A
Garb_01G003590.1	4.604780	A	A
Garb_01G003600.1	6.312457	A	A
Garb_01G003610.1	49.833324	A	A
Garb_01G003620.1	6.785812	A	A
Garb_01G003630.1	9.286525	A	A
Garb_01G003640.1	4.895483	A	A
Garb_01G003650.1	5.242368	A	A
Garb_01G003660.1	6.158823	A	A
Garb_01G003670.1	34.080250	A	A
Garb_01G003680.1	7.968130	A	A
Garb_01G003690.1	20.530701	A	A
Garb_01G003700.1	0.000000	A	A
Garb_01G003710.1	0.000000	A	A
Garb_01G003720.1	19.724174	A	A
Garb_01G003730.1	29.259624	A	A
Garb_01G003740.1	0.000000	A	A
Garb_01G003750.1	15.577621	A	A
Garb_01G003760.1	50.742069	A	A
Garb_01G003770.1	7.717237	A	A
Garb_01G003780.1	8.691474	A	A
Garb_01G003790.1	0.000000	A	A
Garb_01G003800.1	0.000000	A	A
Garb_01G003810.1	21.252542	A	A
Garb_01G003820.1	44.365467	A	A
Garb_01G003830.1	0.000000	A	A
Garb_01G003840.1	10.701606	A	A
Garb_01G003850.1	155.494888	A	A
